Наименование,Код ТНВЭД,Цена без НДС,Импорт,Производитель,Дата цены,Требования и техпараметры,Примечание,Перечень БЭСК,Единственный производитель в РБ,Наличие отечественного производителя,Наличие производителя в ГПО,Еденица измерения количества,Не РЗА,Золото,Серебро,Фото
Автоматический инструмент для удаления изоляции(KNIPEX 12 62 180 KN-1262180),8203,128,Да,,31.01.2019,Снятие изоляции проводов сечением 0.2-6мм,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Аккумулятор совместимый с шуруповёртом Bosch GSR 12-2,,60,Нет,Bosch,07.05.2020,NiCd. для строительного инструмента. 12 В. 1.5 А·ч,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Амперметр щитовой Э8030 М1,8536201008,26.12,Нет,,16.08.2018,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Амперметр Э365-1 200\5,8536201008,37,Да,,30.07.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,Нет,Нет,шт.,Нет,,,0
Амперметр Э365-1 300/5,8536201008,37,Да,,30.07.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,Нет,Нет,шт.,Нет,,,0
Амперметр ЭА 0702,8536201008,37,Да,,30.07.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,Нет,Нет,,Нет,,,0
Амперметр ЭА 7302 50/5,8536201008,37,Да,,30.07.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,Нет,Нет,шт.,Нет,,,0
Батарейки типа 3R12-4.5 В,8506101100,4.5,Да,,30.07.2020,,,Элементы питания и АКБ,Нет,Нет,Нет,шт.,Нет,,,0
Батарейки типа 6LR61-9 В,8506101100,3,Да,,30.07.2020,,,Элементы питания и АКБ,Нет,Нет,Нет,шт.,Нет,,,
Батарейки типа LR03-1.5 В,8506101100,0.6,Да,,30.07.2020,,,Элементы питания и АКБ,Нет,Нет,Нет,шт.,Нет,,,0
Батарейки типа LR6-1.5 В,8506101100,0.6,Да,,30.07.2020,,,Элементы питания и АКБ,Нет,Нет,Нет,шт.,Нет,,,0
Батарейки типа R-14-1.5 В,8506101100,2,Да,,30.07.2020,,,Элементы питания и АКБ,Нет,Нет,Нет,шт.,Нет,,,0
Батарейки типа R-20-1.5 В,8506101100,2.5,Да,,30.07.2020,,,Элементы питания и АКБ,Нет,Нет,Нет,шт.,Нет,,,0
Батарея аккумуляторная Kiper GP 12280 12V/28Aч,8506101100,91.49,Да,,15.02.2015,,,Элементы питания и АКБ,Нет,Нет,Нет,шт.,Нет,,,0
Блок БР-8 (РУП БЭМН),8536,55.2,Нет,"РУП ""БЭМН""",04.09.2019,220 В. 10 Вт. 15кОм,,Электроаппараты,Да,РБ,Есть,шт.,Нет,,,0
Блок винтовой распредилительный SVВ 125 LG,8536,80,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Блок винтовой распредилительный SVВ 175/3 LG,8536,120,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Блок испытательный БИ-4,8536,44,Нет,,16.08.2018,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Блок испытательный БИ-6,8536,60,Нет,,16.08.2018,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Блок конденсаторный БК-101 (пр-во Механотроника РФ),8536,300,Да,Механотроника,30.07.2020,,,1.1 Электротехническое оборудование: Электропреобразовательные и выпрямительные устройства (ЧРЭП. система возбуждения. источники бесперебойного питания. зарядно-подзарядные устройства и т.п.),Нет,Нет,Нет,шт.,Нет,,,0
Блок конденсаторов БК401 (ЧЭАЗ г.Чебоксары),8536,180.72,Да,,16.08.2018,,,1.1 Электротехническое оборудование: Электропреобразовательные и выпрямительные устройства (ЧРЭП. система возбуждения. источники бесперебойного питания. зарядно-подзарядные устройства и т.п.),Нет,Нет,Нет,шт.,Нет,,,0
Блок конденсаторов БК402 (ЧЭАЗ г.Чебоксары),8536,180.72,Да,,16.08.2018,,,1.1 Электротехническое оборудование: Электропреобразовательные и выпрямительные устройства (ЧРЭП. система возбуждения. источники бесперебойного питания. зарядно-подзарядные устройства и т.п.),Нет,Нет,Нет,шт.,Нет,,,0
Блок конденсаторов БК403 (ЧЭАЗ г.Чебоксары),8536,240.96,Да,,16.08.2018,,,1.1 Электротехническое оборудование: Электропреобразовательные и выпрямительные устройства (ЧРЭП. система возбуждения. источники бесперебойного питания. зарядно-подзарядные устройства и т.п.),Нет,Нет,Нет,шт.,Нет,,,0
Блок настроки ДГК БАНК-10,8536,500,Нет,"ОАО ""БЭРН""",14.01.2015,,,Электроаппараты,Нет,РБ,Есть,шт.,Нет,,,0
Блок питания БПКА-300 (РУП БЭМН),8504403009,630.2,Нет,"РУП ""БЭМН""",04.09.2019,5А. 220 В,,1.1 Электротехническое оборудование: Электропреобразовательные и выпрямительные устройства (ЧРЭП. система возбуждения. источники бесперебойного питания. зарядно-подзарядные устройства и т.п.),Нет,РБ,Есть,шт.,Нет,,,0
Блок питания БПТ 615.1-5/15 (РУП БЭМН),8504403009,271,Нет,"РУП ""БЭМН""",04.09.2019,5А. 220 В,,1.1 Электротехническое оборудование: Электропреобразовательные и выпрямительные устройства (ЧРЭП. система возбуждения. источники бесперебойного питания. зарядно-подзарядные устройства и т.п.),Нет,РБ,Есть,шт.,Нет,,,0
Блок питания БПТМ 610 (РУП БЭМН),8504403009,345.5,Нет,"РУП ""БЭМН""",04.09.2019,5А. 220 В,,1.1 Электротехническое оборудование: Электропреобразовательные и выпрямительные устройства (ЧРЭП. система возбуждения. источники бесперебойного питания. зарядно-подзарядные устройства и т.п.),Да,РБ,Есть,шт.,Нет,,,0
Блок питания и заряда БПЗ-401 (ЧЭАЗ г.Чебоксары). вход и выход 220В,8504403009,61.33,Да,,16.08.2018,,,1.1 Электротехническое оборудование: Электропреобразовательные и выпрямительные устройства (ЧРЭП. система возбуждения. источники бесперебойного питания. зарядно-подзарядные устройства и т.п.),Нет,Нет,Нет,шт.,Нет,,,0
Блок питания конденсаторный ПИОН-К (МТ технологии РФ),8504403009,672,Нет,"НПП ""Миропроцессорные технологии""",16.08.2018,,,1.1 Электротехническое оборудование: Электропреобразовательные и выпрямительные устройства (ЧРЭП. система возбуждения. источники бесперебойного питания. зарядно-подзарядные устройства и т.п.),Нет,РБ,Есть,шт.,Нет,,,0
Блок управления TER_CM_16_2,8536,1050,Нет,,20.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Блок-контакт универсальный Z-NHK 4А. 2 пер.котакта 0.5м для РL7,8536,15.28,Да,Eaton,16.08.2018,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Блоки для вакуумного выключателя BU/TEL 05 и BP/TEL 02,8504403009,320,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Блоки управления РиМ БУ-11 У2 Новосибирск,8504403009,850,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Бокорезы 160мм (DIN ISO 5749В. 64НRC. 1000V),8536,40,Да,,30.07.2020,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
"В/ч пост ПВЗ-90М (""Зенит"" г.Могилёв)",8536,286.85,Нет,,14.01.2015,,,Электроаппараты,Нет,РБ,Есть,шт.,Нет,,,0
В\ч кабель РК-75-9-12 (13-15),8544598000,3,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
ВГТ-110кВ,8203,38000,Да,,,,,1.1 Электротехническое оборудование: Высоковольтные выключатели всех типов и запасные части к ним,Нет,Нет,Нет,шт.,Нет,,,0
Вентилятор 120х120х38мм 220В AC (скольжения),8536,30,Нет,,27.01.2020,,,Электроаппараты,Нет,,,шт.,Нет,,,0
Вентилятор с фильтром FF 018,8536,250,Да,STEGO,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Вентилятор RFP 018 с фильтром. 64Вт. 230VAC. 650(500)м3/ч. для монтажа на крыше. RAL7035. IP32,8536,414,Да,STEGO,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Вольтметр М381 пост. 0-300В,8536,80,Нет,,30.07.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Вольтметр щитовой стрелочный ЭВ120Ц 1.5-42кВ,8536,80,Да,,30.07.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,Нет,Нет,шт.,Нет,,,0
Вольтметр Э8030 М1 12кВ,8536,30.72,Нет,,16.08.2018,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Вольтметр ЭВ0702 250В,8536,80,Нет,,30.07.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Вольтметр ЭВ0702 500В,8536,80,Нет,,30.07.2020,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Выключатель ВК-42А 10 2022-00УХЛ4,8536,5,Нет,,30.07.2020,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Выключатель нагрузки RSI 4160\W02 160 А,8536,120,Да,S.I. «SPAMEL»,30.07.2020,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Выключатель-разъединитель ВР32-31Ф-В71250-100А-УХЛ3-КЭАЗ,8536,50,Да,,05.10.2017,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Выпускной фильтр EF 118,8536,50,Да,STEGO,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Герметик силиконовый тубус,2715,9.6,Нет,,16.08.2018,,,Клея. герметики,Нет,РБ,Нет,шт.,Нет,,,0
Гигростат электронный EFR-012,8544598000,117.49,Да,STEGO,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Гидравлическая система с выносным алюминиевым прессом для пробивки отверстий в стальных листах(КВТ ПГПО-60А),8203,600,Да,,31.01.2019,Гидравлическая система ПГПО-60А; рукав высокого давления длинной 1.3 м;набор из 8 сменных перфоформ;2 резьбовые шпильки;1 запасная резьбовая шпилька; ремкомплект; диаметр пробиваемых отверстий:16.2/18.6/20.5/22.5/25.4/28.3/37/47; максимальное усилие 10 т,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Грабли витые 14 зубьев с черенком,4814907009,10,Нет,,10.05.2019,,,Хозтовары и хозинветарь,Нет,Есть,,шт.,Нет,,,0
грозотрос,8203,2.5,Да,,30.07.2020,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,Нет,Нет,м,Нет,,,0
Грозотрос с оптическим кабелем,8203,5,Да,,30.07.2020,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,Нет,Нет,м,Нет,,,0
Датчик ВОД-Л 2м,8544598000,33,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Датчик ВОД-Л 4м,8544598000,57,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Датчик напряжения LV25-Р (для Пармы ПС330кВ),8544598000,160,Да,LEM,23.02.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Датчик с оптическим волокном к МДО1(БЭМН) 3м,8544598000,42.9,Нет,"РУП ""БЭМН""",04.09.2019,,,Электроаппараты,Нет,РБ,Есть,шт.,Нет,,,0
Датчик RT-82 для регулятора температуры CRT-02,8544598000,28,Нет,Евроавтоматика,06.10.2017,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Двусторонняя складная подставка,7326903000,121.6,Нет,KRAUSE,16.07.2020,Рабочая высота: 2.65м; Высота подставки:0.65м;Количество ступеней 2x2;Вес 3.0кг.,,,,Нет,Нет,шт,Нет,,,0
Держатель КСО для защитной крышки СО(2шт),8536,2.47,Да,Enterlec,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Держатель шильдиков для концевой консоли SchT10,8536,0.2,Да,CONTA-CLIP,,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Держатель LН для маркировки МСLH,8536,0.37,Да,Enterlec,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Диод 1N5408 3А 1000В,8536,0.1,Да,,30.07.2020,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Диод N5011,8536,0.1,Да,,30.07.2020,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Диод ДЛ122-40-15,8536,20,Да,,05.09.2019,,,Радиодетали,,,,шт.,Нет,,,0
Диод КД202Р,8536,1.8,Да,,16.08.2018,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Диод КЦ402А,8536,1.6,Да,,30.07.2020,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Диодный мост KBU6M / 6А. 1000В,8536,2,Да,,05.09.2019,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Дифференциальный автомат АД12/10 А/2 полюса/30мА,8536,25,Да,,30.07.2020,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Жгут витой SPIRALITE P4 12 мм. 20метров,8536,30,Да,,02.09.2019,,,Изоляционные материалы,,,,уп.,Нет,,,0
Зажим для экрана к.кабеля на DIN рейку SAB13.5/МF/35,8536,12,Да,PHOENIX CONTACT,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Замена РЗА Т-1 и Т-2 (МР-801 и МР-851)+СМР,,150000,Нет,,31.01.2019,,,,Нет,Нет,Нет,шт.,Нет,,,0
Замок 502.12.12.11.33-1 «Mesan»,8301401100,85,Нет,Mesan. Турция,30.07.2020,,,Хозтовары и хозинветарь,Нет,Нет,Нет,шт.,Нет,,,https://www.mesanlocks.com/YuklenenDosyalar/UrunKataloglari/917b59e5-7cb5-46e6-a218-06df1e1b6ab5.pdf
Замок навесной ВС 1-2,8203,13,Нет,"ОАО Станкозавод ""Крвсный борец""",04.02.2019,Высота >115мм.,,Хозтовары и хозинветарь,Нет,РБ,Нет,шт.,Нет,,,0
Замок навесной малогабаритный (механизм около 6x4см),8536,3,Нет,,13.02.2019,,,Строительные материалы,Нет,Нет,Нет,шт.,Нет,,,0
Защита от замыканий на землю GSPAG (ОАО БЭРН),8536,900,Нет,"ОАО ""БЭРН""",14.01.2015,,,Электроаппараты,Да,РБ,Есть,шт.,Нет,,,0
Защитная крышка СО для клемм ZS4-ZS35 1м (прозрачная),8536,9.56,Да,Enterlec,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Защитный коврик на пол под кресло непрозрачный,8203,70,Да,,08.02.2019,,,Строительные материалы,Нет,Нет,Нет,шт.,Нет,,,0
Звонок,8536,45,Нет,,30.07.2020,220 В АС,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Звонок ЗОФ DC 220В,8536,36,Да,,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
ИБП,8536,300,Нет,,14.01.2015,,,1.1 Электротехническое оборудование: Электропреобразовательные и выпрямительные устройства (ЧРЭП. система возбуждения. источники бесперебойного питания. зарядно-подзарядные устройства и т.п.),Нет,РБ,Нет,шт.,Нет,,,0
Измерительный шунт 100 А 75 мВ,8536,24,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Измерительный шунт 150 А 75 мВ,8536,30,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Измерительный шунт 75 А 75 мВ,8536,20,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Изолента ПВХ 20м рулон,8536,2.4,Да,,16.08.2018,,,Изоляционные материалы,Нет,Нет,Нет,шт.,Нет,,,0
Инструмент для снятия изоляции тип провода круглый. плоский. овальный сечение провода 0.2 - 6 мм2. длина съемаизоляции 4-18 мм,8203,36,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Инструмент электромонтажный СIMCO(Германия) (комплект),8203,600,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
К клемме АWG22-12 2002-1871 вставная перемычка 2002-402,8536,0.5,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
К клемме АWG22-12 2002-1871 маркировка 793-5501 100шт.,8536,6.4,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
К клемме АWG22-12 2002-1871 торцевая пластина 2002-1892,8536,0.75,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Кабель АКВВГ 5x2.5,8544598000,1.4,Нет,,30.07.2020,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель ВБШвнг 4x10,8544598000,11,Нет,,04.11.2020,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,
Кабель ВБШвнг 4x16,8544598000,18.7,Нет,,04.11.2020,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,
Кабель ВБШвнг 4x4,8544598000,6.2,Нет,,04.11.2020,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,
Кабель ВБШвнг 4x6,8544598000,7.8,Нет,,04.11.2020,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,
Кабель КВВГ нг 10x1.5,8544598000,3,Нет,,16.08.2018,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГнг 19x2.5,8544598000,11,Нет,,30.07.2020,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГнг 5x2.5,8544598000,5.2,Нет,,16.08.2018,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 10x1.5,8544598000,3.53,Нет,,16.08.2018,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 10x2.5,8544598000,10.82,Нет,,15.03.2015,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 14x1.5,8544598000,4.75,Нет,,16.08.2018,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 19x1.5,8544598000,5.2,Нет,,16.08.2018,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 4x1.5,8544598000,3,Нет,,16.08.2018,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 4x2.5,8544598000,2.17,Нет,,16.08.2018,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 5x1.5,8544598000,1.79,Нет,,30.10.2020,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 5x2.5,8544598000,2.17,Нет,,16.08.2018,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 5x4,8544598000,2.7,Нет,,15.04.2015,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 7x1.5,8544598000,3.23,Нет,,15.02.2015,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Кабель КВВГэнг 7x2.5,8544598000,3.76,Нет,,30.10.2020,,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
